origin,destination,fast_product_quantity,normal_product_quantity
node_01_A,node_16_C,18,427
node_01_A,node_16_A,52,661
node_01_A,node_17_B,31,405
node_01_A,node_17_C,25,452
node_01_A,node_17_A,18,200
node_01_A,node_18_B,2,114
node_01_A,node_18_C,2,67
node_01_A,node_18_A,12,262
node_01_A,node_19_B,3,40
node_01_A,node_19_C,0,26
node_01_A,node_19_A,22,127
node_01_A,node_20_B,288,2010
node_01_A,node_20_C,124,1609
node_01_A,node_20_A,71,681
node_01_A,node_21_B,43,260
node_01_A,node_21_C,44,425
node_01_A,node_21_A,33,226
node_01_A,node_22_B,19,482
node_01_A,node_22_C,17,711
node_01_A,node_22_A,101,1557
node_01_A,node_23_B,19,634
node_01_A,node_23_C,63,1796
node_01_A,node_23_A,182,2390
node_01_A,node_24_B,1,26
node_01_A,node_24_C,0,9
node_01_A,node_24_A,10,20
node_01_A,node_25_B,84,237
node_01_A,node_25_C,52,127
node_01_A,node_25_A,77,130
node_01_A,node_26_B,10,363
node_01_A,node_26_C,31,1061
node_01_A,node_26_A,43,743
node_01_A,node_27_B,1,8711
node_01_A,node_27_C,3,6174
node_01_A,node_27_A,0,4568
node_02_B,node_01_B,539,1845
node_02_B,node_01_C,509,1610
node_02_B,node_01_A,420,1191
node_02_B,node_03_B,134,501
node_02_B,node_03_C,123,558
node_02_B,node_03_A,191,587
node_02_B,node_04_B,5069,30842
node_02_B,node_04_C,803,4065
node_02_B,node_04_A,1433,9336
node_02_B,node_05_B,603,2710
node_02_B,node_05_C,130,715
node_02_B,node_06_B,293,1811
node_02_B,node_06_C,59,381
node_02_B,node_06_A,214,967
node_02_B,node_07_B,147,650
node_02_B,node_07_C,270,1168
node_02_B,node_08_B,955,4887
node_02_B,node_08_C,162,1284
node_02_B,node_08_A,347,1072
node_02_B,node_09_B,562,2759
node_02_B,node_09_C,364,1931
node_02_B,node_09_A,387,1529
node_02_B,node_10_B,160,587
node_02_B,node_10_C,97,317
node_02_B,node_10_A,133,493
node_02_B,node_11_B,286,1231
node_02_B,node_11_C,306,1748
node_02_B,node_11_A,523,2271
node_02_B,node_12_B,412,2311
node_02_B,node_12_C,350,1475
node_02_B,node_12_A,396,1472
node_02_B,node_13_B,177,536
node_02_B,node_13_C,83,255
node_02_B,node_13_A,226,818
node_02_B,node_14_B,2725,10418
node_02_B,node_14_C,659,2259
node_02_B,node_14_A,542,1670
node_02_B,node_15_B,326,1301
node_02_B,node_15_C,392,1029
node_02_B,node_15_A,279,332
node_02_B,node_16_B,495,1623
node_02_B,node_16_C,230,759
node_02_B,node_16_A,442,1185
node_02_B,node_17_B,206,632
node_02_B,node_17_C,201,653
node_02_B,node_17_A,94,317
node_02_B,node_18_B,26,113
node_02_B,node_18_C,17,85
node_02_B,node_18_A,106,343
node_02_B,node_19_B,11,41
node_02_B,node_19_C,15,28
node_02_B,node_19_A,95,152
node_02_B,node_20_B,1166,2826
node_02_B,node_20_C,774,2319
node_02_B,node_20_A,258,1161
node_02_B,node_21_B,178,321
node_02_B,node_21_C,297,544
node_02_B,node_21_A,181,315
node_02_B,node_22_B,107,633
node_02_B,node_22_C,163,896
node_02_B,node_22_A,465,2406
node_02_B,node_23_B,159,939
node_02_B,node_23_C,413,2597
node_02_B,node_23_A,722,4067
node_02_B,node_24_B,6,3
node_02_B,node_24_C,9,10
node_02_B,node_24_A,33,14
node_02_B,node_25_B,203,200
node_02_B,node_25_C,121,76
node_02_B,node_25_A,184,161
node_02_B,node_26_B,104,594
node_02_B,node_26_C,299,1619
node_02_B,node_26_A,249,1102
node_02_B,node_27_B,1093,12925
node_02_B,node_27_C,1391,10545
node_02_B,node_27_A,835,5500
node_02_C,node_01_B,561,5906
node_02_C,node_01_C,547,5579
node_02_C,node_01_A,436,4005
node_02_C,node_03_B,179,2505
node_02_C,node_03_C,237,2999
node_02_C,node_03_A,196,2169
node_02_C,node_04_B,4531,69937
node_02_C,node_04_C,732,12964
node_02_C,node_04_A,1478,22598
node_02_C,node_05_B,465,10893
node_02_C,node_05_C,113,3186
node_02_C,node_06_B,352,6408
node_02_C,node_06_C,96,1515
node_02_C,node_06_A,177,2841
node_02_C,node_07_B,115,2398
node_02_C,node_07_C,214,4302
node_02_C,node_08_B,952,18820
node_02_C,node_08_C,157,4028
node_02_C,node_08_A,292,4151
node_02_C,node_09_B,457,10560
node_02_C,node_09_C,313,7239
node_02_C,node_09_A,270,4996
node_02_C,node_10_B,303,2351
node_02_C,node_10_C,166,1515
node_02_C,node_10_A,178,1964
node_02_C,node_11_B,339,4503
node_02_C,node_11_C,361,5637
node_02_C,node_11_A,425,6547
node_02_C,node_12_B,378,7107
node_02_C,node_12_C,344,4676
node_02_C,node_12_A,305,3931
node_02_C,node_13_B,196,1638
node_02_C,node_13_C,105,937
node_02_C,node_13_A,147,2479
node_02_C,node_14_B,2917,27653
node_02_C,node_14_C,822,7749
node_02_C,node_14_A,467,4488
node_02_C,node_15_B,760,4254
node_02_C,node_15_C,607,3692
node_02_C,node_15_A,314,1127
node_02_C,node_16_B,522,5575
node_02_C,node_16_C,235,2948
node_02_C,node_16_A,317,4399
node_02_C,node_17_B,282,3601
node_02_C,node_17_C,320,3890
node_02_C,node_17_A,142,1767
node_02_C,node_18_B,34,505
node_02_C,node_18_C,25,438
node_02_C,node_18_A,96,1218
node_02_C,node_19_B,37,354
node_02_C,node_19_C,17,171
node_02_C,node_19_A,163,868
node_02_C,node_20_B,1480,12101
node_02_C,node_20_C,854,8762
node_02_C,node_20_A,235,3571
node_02_C,node_21_B,284,2387
node_02_C,node_21_C,438,3974
node_02_C,node_21_A,175,1664
node_02_C,node_22_B,181,3137
node_02_C,node_22_C,270,3638
node_02_C,node_22_A,567,8188
node_02_C,node_23_B,176,3420
node_02_C,node_23_C,457,8903
node_02_C,node_23_A,665,11639
node_02_C,node_24_B,16,98
node_02_C,node_24_C,11,47
node_02_C,node_24_A,53,116
node_02_C,node_25_B,421,1491
node_02_C,node_25_C,239,737
node_02_C,node_25_A,307,779
node_02_C,node_26_B,131,2407
node_02_C,node_26_C,412,7643
node_02_C,node_26_A,206,4512
node_02_C,node_27_B,1033,30118
node_02_C,node_27_C,1152,22378
node_02_C,node_27_A,989,11055
node_02_A,node_01_B,134,814
node_02_A,node_01_C,124,675
node_02_A,node_01_A,112,664
node_02_A,node_03_B,42,144
node_02_A,node_03_C,46,171
node_02_A,node_03_A,76,191
node_02_A,node_04_B,1310,14459
node_02_A,node_04_C,214,1650
node_02_A,node_04_A,502,4828
node_02_A,node_05_B,117,1191
node_02_A,node_05_C,23,282
node_02_A,node_06_B,78,701
node_02_A,node_06_C,15,210
node_02_A,node_06_A,59,410
node_02_A,node_07_B,35,249
node_02_A,node_07_C,62,475
node_02_A,node_08_B,243,1690
node_02_A,node_08_C,50,515
node_02_A,node_08_A,97,451
node_02_A,node_09_B,92,943
node_02_A,node_09_C,60,751
node_02_A,node_09_A,105,580
node_02_A,node_10_B,49,191
node_02_A,node_10_C,19,100
node_02_A,node_10_A,49,208
node_02_A,node_11_B,69,504
node_02_A,node_11_C,86,774
node_02_A,node_11_A,187,894
node_02_A,node_12_B,91,1016
node_02_A,node_12_C,68,511
node_02_A,node_12_A,119,573
node_02_A,node_13_B,25,171
node_02_A,node_13_C,8,83
node_02_A,node_13_A,37,270
node_02_A,node_14_B,764,4320
node_02_A,node_14_C,180,885
node_02_A,node_14_A,184,749
node_02_A,node_15_B,216,632
node_02_A,node_15_C,159,335
node_02_A,node_15_A,127,157
node_02_A,node_16_B,124,549
node_02_A,node_16_C,40,233
node_02_A,node_16_A,90,418
node_02_A,node_17_B,75,183
node_02_A,node_17_C,74,222
node_02_A,node_17_A,36,111
node_02_A,node_18_B,14,32
node_02_A,node_18_C,4,38
node_02_A,node_18_A,30,112
node_02_A,node_19_B,4,16
node_02_A,node_19_C,3,4
node_02_A,node_19_A,41,40
node_02_A,node_20_B,360,1039
node_02_A,node_20_C,190,854
node_02_A,node_20_A,97,321
node_02_A,node_21_B,43,78
node_02_A,node_21_C,64,154
node_02_A,node_21_A,56,106
node_02_A,node_22_B,36,237
node_02_A,node_22_C,50,295
node_02_A,node_22_A,156,934
node_02_A,node_23_B,45,269
node_02_A,node_23_C,113,770
node_02_A,node_23_A,245,1353
node_02_A,node_24_B,1,3
node_02_A,node_24_C,2,0
node_02_A,node_24_A,10,3
node_02_A,node_25_B,87,74
node_02_A,node_25_C,51,25
node_02_A,node_25_A,104,51
node_02_A,node_26_B,30,211
node_02_A,node_26_C,72,543
node_02_A,node_26_A,87,427
node_02_A,node_27_B,314,7091
node_02_A,node_27_C,365,4999
node_02_A,node_27_A,350,3162
node_03_B,node_01_B,11,146
node_03_B,node_01_C,13,123
node_03_B,node_01_A,14,102
node_03_B,node_02_B,26,130
node_03_B,node_02_C,11,409
node_03_B,node_02_A,16,66
node_03_B,node_04_B,142,2151
node_03_B,node_04_C,25,195
node_03_B,node_04_A,36,1131
node_03_B,node_05_B,20,54
node_03_B,node_05_C,2,14
node_03_B,node_06_B,7,34
node_03_B,node_06_C,0,11
node_03_B,node_06_A,8,18
node_03_B,node_07_B,11,27
node_03_B,node_07_C,14,41
node_03_B,node_08_B,60,478
node_03_B,node_08_C,3,160
node_03_B,node_08_A,26,163
node_03_B,node_09_B,36,237
node_03_B,node_09_C,15,223
node_03_B,node_09_A,23,202
node_03_B,node_10_B,5,21
node_03_B,node_10_C,3,13
node_03_B,node_10_A,4,41
node_03_B,node_11_B,10,94
node_03_B,node_11_C,6,125
node_03_B,node_11_A,27,185
node_03_B,node_12_B,13,158
node_03_B,node_12_C,5,73
node_03_B,node_12_A,16,67
node_03_B,node_13_B,4,17
node_03_B,node_13_C,0,6
node_03_B,node_13_A,7,34
node_03_B,node_14_B,124,1054
node_03_B,node_14_C,24,147
node_03_B,node_14_A,31,106
node_03_B,node_15_B,12,127
node_03_B,node_15_C,14,45
node_03_B,node_15_A,12,23
node_03_B,node_16_B,15,110
node_03_B,node_16_C,4,60
node_03_B,node_16_A,6,73
node_03_B,node_17_B,12,42
node_03_B,node_17_C,24,80
node_03_B,node_17_A,10,22
node_03_B,node_18_B,16,65
node_03_B,node_18_C,12,75
node_03_B,node_18_A,62,189
node_03_B,node_19_B,8,29
node_03_B,node_19_C,1,10
node_03_B,node_19_A,32,80
node_03_B,node_20_B,51,228
node_03_B,node_20_C,31,237
node_03_B,node_20_A,6,66
node_03_B,node_21_B,11,34
node_03_B,node_21_C,16,43
node_03_B,node_21_A,10,22
node_03_B,node_22_B,30,113
node_03_B,node_22_C,28,130
node_03_B,node_22_A,204,796
node_03_B,node_23_B,11,32
node_03_B,node_23_C,26,78
node_03_B,node_23_A,79,1500
node_03_B,node_24_B,1,0
node_03_B,node_24_C,1,0
node_03_B,node_24_A,4,0
node_03_B,node_25_B,101,36
node_03_B,node_25_C,71,3
node_03_B,node_25_A,77,1
node_03_B,node_26_B,2,10
node_03_B,node_26_C,8,36
node_03_B,node_26_A,13,28
node_03_B,node_27_B,71,1294
node_03_B,node_27_C,35,1127
node_03_B,node_27_A,59,603
node_03_C,node_01_B,15,145
node_03_C,node_01_C,9,107
node_03_C,node_01_A,19,105
node_03_C,node_02_B,25,128
node_03_C,node_02_C,12,377
node_03_C,node_02_A,12,46
node_03_C,node_04_B,118,1856
node_03_C,node_04_C,21,174
node_03_C,node_04_A,44,1033
node_03_C,node_05_B,11,67
node_03_C,node_05_C,0,7
node_03_C,node_06_B,5,41
node_03_C,node_06_C,0,9
node_03_C,node_06_A,2,27
node_03_C,node_07_B,8,29
node_03_C,node_07_C,9,39
node_03_C,node_08_B,51,388
node_03_C,node_08_C,5,110
node_03_C,node_08_A,23,124
node_03_C,node_09_B,26,195
node_03_C,node_09_C,16,160
node_03_C,node_09_A,25,135
node_03_C,node_10_B,2,21
node_03_C,node_10_C,3,14
node_03_C,node_10_A,4,32
node_03_C,node_11_B,7,90
node_03_C,node_11_C,11,116
node_03_C,node_11_A,32,161
node_03_C,node_12_B,7,130
node_03_C,node_12_C,7,59
node_03_C,node_12_A,14,67
node_03_C,node_13_B,4,21
node_03_C,node_13_C,1,10
node_03_C,node_13_A,4,31
node_03_C,node_14_B,153,884
node_03_C,node_14_C,37,121
node_03_C,node_14_A,25,109
node_03_C,node_15_B,20,91
node_03_C,node_15_C,16,34
node_03_C,node_15_A,10,21
node_03_C,node_16_B,16,105
node_03_C,node_16_C,4,43
node_03_C,node_16_A,11,59
node_03_C,node_17_B,11,36
node_03_C,node_17_C,11,52
node_03_C,node_17_A,4,19
node_03_C,node_18_B,11,43
node_03_C,node_18_C,9,48
node_03_C,node_18_A,43,83
node_03_C,node_19_B,10,77
node_03_C,node_19_C,2,54
node_03_C,node_19_A,33,289
node_03_C,node_20_B,47,192
node_03_C,node_20_C,32,196
node_03_C,node_20_A,17,57
node_03_C,node_21_B,8,17
node_03_C,node_21_C,9,48
node_03_C,node_21_A,8,25
node_03_C,node_22_B,10,70
node_03_C,node_22_C,26,146
node_03_C,node_22_A,162,503
node_03_C,node_23_B,14,43
node_03_C,node_23_C,23,100
node_03_C,node_23_A,72,1413
node_03_C,node_24_B,4,0
node_03_C,node_24_C,3,0
node_03_C,node_24_A,11,0
node_03_C,node_25_B,75,15
node_03_C,node_25_C,53,7
node_03_C,node_25_A,68,5
node_03_C,node_26_B,3,14
node_03_C,node_26_C,10,43
node_03_C,node_26_A,21,40
node_03_C,node_27_B,74,1081
node_03_C,node_27_C,31,907
node_03_C,node_27_A,57,547
node_03_A,node_01_B,30,127
node_03_A,node_01_C,33,134
node_03_A,node_01_A,50,140
node_03_A,node_02_B,69,207
node_03_A,node_02_C,57,430
node_03_A,node_02_A,58,126
node_03_A,node_04_B,414,2324
node_03_A,node_04_C,75,263
node_03_A,node_04_A,157,1446
node_03_A,node_05_B,42,101
node_03_A,node_05_C,5,46
node_03_A,node_06_B,11,52
node_03_A,node_06_C,2,11
node_03_A,node_06_A,21,47
node_03_A,node_07_B,26,62
node_03_A,node_07_C,60,106
node_03_A,node_08_B,112,454
node_03_A,node_08_C,16,142
node_03_A,node_08_A,69,122
node_03_A,node_09_B,53,222
node_03_A,node_09_C,31,220
node_03_A,node_09_A,59,217
node_03_A,node_10_B,5,51
node_03_A,node_10_C,6,32
node_03_A,node_10_A,21,72
node_03_A,node_11_B,20,83
node_03_A,node_11_C,18,124
node_03_A,node_11_A,83,243
node_03_A,node_12_B,30,141
node_03_A,node_12_C,17,75
node_03_A,node_12_A,55,141
node_03_A,node_13_B,9,43
node_03_A,node_13_C,5,24
node_03_A,node_13_A,22,56
node_03_A,node_14_B,321,880
node_03_A,node_14_C,90,180
node_03_A,node_14_A,130,179
node_03_A,node_15_B,35,70
node_03_A,node_15_C,22,58
node_03_A,node_15_A,36,36
node_03_A,node_16_B,57,144
node_03_A,node_16_C,11,39
node_03_A,node_16_A,47,94
node_03_A,node_17_B,26,91
node_03_A,node_17_C,34,132
node_03_A,node_17_A,18,62
node_03_A,node_18_B,39,161
node_03_A,node_18_C,36,160
node_03_A,node_18_A,143,525
node_03_A,node_19_B,7,272
node_03_A,node_19_C,11,69
node_03_A,node_19_A,191,668
node_03_A,node_20_B,120,288
node_03_A,node_20_C,61,259
node_03_A,node_20_A,49,133
node_03_A,node_21_B,20,40
node_03_A,node_21_C,28,95
node_03_A,node_21_A,33,44
node_03_A,node_22_B,48,140
node_03_A,node_22_C,51,211
node_03_A,node_22_A,441,856
node_03_A,node_23_B,22,82
node_03_A,node_23_C,51,142
node_03_A,node_23_A,237,1844
node_03_A,node_24_B,5,0
node_03_A,node_24_C,5,0
node_03_A,node_24_A,21,0
node_03_A,node_25_B,94,31
node_03_A,node_25_C,65,13
node_03_A,node_25_A,102,66
node_03_A,node_26_B,6,28
node_03_A,node_26_C,21,70
node_03_A,node_26_A,42,81
node_03_A,node_27_B,301,1077
node_03_A,node_27_C,141,814
node_03_A,node_27_A,139,699
node_04_B,node_01_B,1606,16376
node_04_B,node_01_C,1606,15572
node_04_B,node_01_A,1584,11200
node_04_B,node_02_B,4784,28904
node_04_B,node_02_C,4884,48802
node_04_B,node_02_A,2296,20934
node_04_B,node_03_B,523,5878
node_04_B,node_03_C,559,6467
node_04_B,node_03_A,710,6241
node_04_B,node_05_B,3445,49598
node_04_B,node_05_C,995,12931
node_04_B,node_06_B,1292,18668
node_04_B,node_06_C,254,4044
node_04_B,node_06_A,899,8718
node_04_B,node_07_B,783,9919
node_04_B,node_07_C,1509,17646
node_04_B,node_08_B,4405,46630
node_04_B,node_08_C,850,10645
node_04_B,node_08_A,1408,11923
node_04_B,node_09_B,2260,30067
node_04_B,node_09_C,1366,20918
node_04_B,node_09_A,1673,16977
node_04_B,node_10_B,870,5867
node_04_B,node_10_C,487,3505
node_04_B,node_10_A,967,4991
node_04_B,node_11_B,1628,14991
node_04_B,node_11_C,1779,19184
node_04_B,node_11_A,3230,22650
node_04_B,node_12_B,3441,30209
node_04_B,node_12_C,2345,23654
node_04_B,node_12_A,2635,17275
node_04_B,node_13_B,599,5436
node_04_B,node_13_C,270,2830
node_04_B,node_13_A,889,7384
node_04_B,node_14_B,13604,76587
node_04_B,node_14_C,3079,20833
node_04_B,node_14_A,2506,14526
node_04_B,node_15_B,3054,13663
node_04_B,node_15_C,4608,11855
node_04_B,node_15_A,1631,4245
node_04_B,node_16_B,2105,14146
node_04_B,node_16_C,809,6665
node_04_B,node_16_A,1766,11129
node_04_B,node_17_B,954,6701
node_04_B,node_17_C,914,6581
node_04_B,node_17_A,429,3117
node_04_B,node_18_B,111,1507
node_04_B,node_18_C,86,963
node_04_B,node_18_A,388,3891
node_04_B,node_19_B,87,781
node_04_B,node_19_C,38,416
node_04_B,node_19_A,512,1785
node_04_B,node_20_B,5225,27749
node_04_B,node_20_C,2551,22109
node_04_B,node_20_A,1230,11679
node_04_B,node_21_B,830,3915
node_04_B,node_21_C,838,5696
node_04_B,node_21_A,760,3514
node_04_B,node_22_B,528,7787
node_04_B,node_22_C,698,10090
node_04_B,node_22_A,2636,25695
node_04_B,node_23_B,960,9785
node_04_B,node_23_C,2254,24938
node_04_B,node_23_A,5041,37148
node_04_B,node_24_B,39,105
node_04_B,node_24_C,36,67
node_04_B,node_24_A,134,163
node_04_B,node_25_B,1198,2775
node_04_B,node_25_C,586,1346
node_04_B,node_25_A,1052,2092
node_04_B,node_26_B,605,5881
node_04_B,node_26_C,1573,16920
node_04_B,node_26_A,1372,11669
node_04_B,node_27_B,8083,87260
node_04_B,node_27_C,6669,77779
node_04_B,node_27_A,5422,36878
node_04_C,node_01_B,236,2735
node_04_C,node_01_C,202,2307
node_04_C,node_01_A,220,1890
node_04_C,node_02_B,604,4491
node_04_C,node_02_C,684,9108
node_04_C,node_02_A,366,2984
node_04_C,node_03_B,99,763
node_04_C,node_03_C,95,916
node_04_C,node_03_A,102,869
node_04_C,node_05_B,759,7938
node_04_C,node_05_C,222,2004
node_04_C,node_06_B,206,2850
node_04_C,node_06_C,31,620
node_04_C,node_06_A,161,1427
node_04_C,node_07_B,131,1354
node_04_C,node_07_C,240,2505
node_04_C,node_08_B,587,6991
node_04_C,node_08_C,79,1654
node_04_C,node_08_A,218,1915
node_04_C,node_09_B,328,4744
node_04_C,node_09_C,206,3558
node_04_C,node_09_A,254,2771
node_04_C,node_10_B,96,803
node_04_C,node_10_C,71,415
node_04_C,node_10_A,128,713
node_04_C,node_11_B,217,2471
node_04_C,node_11_C,248,3462
node_04_C,node_11_A,439,4002
node_04_C,node_12_B,538,4900
node_04_C,node_12_C,320,3673
node_04_C,node_12_A,441,2679
node_04_C,node_13_B,62,741
node_04_C,node_13_C,25,419
node_04_C,node_13_A,102,1077
node_04_C,node_14_B,1840,13431
node_04_C,node_14_C,448,3235
node_04_C,node_14_A,371,2139
node_04_C,node_15_B,415,2261
node_04_C,node_15_C,549,1794
node_04_C,node_15_A,245,629
node_04_C,node_16_B,271,1887
node_04_C,node_16_C,77,897
node_04_C,node_16_A,227,1498
node_04_C,node_17_B,92,760
node_04_C,node_17_C,102,797
node_04_C,node_17_A,55,413
node_04_C,node_18_B,8,197
node_04_C,node_18_C,6,129
node_04_C,node_18_A,53,532
node_04_C,node_19_B,9,80
node_04_C,node_19_C,5,54
node_04_C,node_19_A,55,241
node_04_C,node_20_B,789,4312
node_04_C,node_20_C,437,3728
node_04_C,node_20_A,159,1853
node_04_C,node_21_B,81,503
node_04_C,node_21_C,109,760
node_04_C,node_21_A,75,541
node_04_C,node_22_B,67,1012
node_04_C,node_22_C,80,1358
node_04_C,node_22_A,307,3507
node_04_C,node_23_B,112,1590
node_04_C,node_23_C,259,3845
node_04_C,node_23_A,694,5571
node_04_C,node_24_B,7,21
node_04_C,node_24_C,2,12
node_04_C,node_24_A,16,30
node_04_C,node_25_B,121,319
node_04_C,node_25_C,78,147
node_04_C,node_25_A,150,287
node_04_C,node_26_B,70,976
node_04_C,node_26_C,156,2513
node_04_C,node_26_A,202,1756
node_04_C,node_27_B,1184,14418
node_04_C,node_27_C,951,13606
node_04_C,node_27_A,857,6109
node_04_A,node_01_B,725,7855
node_04_A,node_01_C,754,8718
node_04_A,node_01_A,713,5966
node_04_A,node_02_B,1887,14608
node_04_A,node_02_C,2086,20583
node_04_A,node_02_A,994,10438
node_04_A,node_03_B,383,3655
node_04_A,node_03_C,423,4279
node_04_A,node_03_A,444,3588
node_04_A,node_05_B,1489,20411
