origin,des,type,size,flow,extra,dis
node_12_C,node_20_C,Fast,64,1,1,4
node_10_B,node_09_A,Fast,37,1,1,3
node_21_A,node_01_A,Fast,24,1,1,1
node_20_A,node_17_A,Fast,44,1,1,1
node_15_C,node_18_C,Fast,16,1,1,4
node_16_C,node_03_A,Fast,21,1,1,3
node_18_B,node_12_A,Fast,6,1,1,3
node_08_A,node_06_B,Fast,78,1,1,2
node_13_B,node_02_A,Fast,23,1,1,3
node_04_A,node_26_B,Fast,252,1,1,2
node_18_A,node_09_A,Fast,25,1,1,1
node_08_C,node_18_B,Fast,7,1,1,4
node_04_A,node_18_B,Fast,77,1,1,2
node_23_A,node_10_A,Fast,199,1,1,1
node_01_A,node_05_B,Fast,77,1,1,2
node_25_C,node_03_B,Fast,43,1,0,4
node_09_A,node_06_C,Fast,18,1,1,2
node_23_A,node_06_C,Fast,82,1,1,2
node_01_C,node_08_A,Fast,108,1,1,3
node_21_C,node_25_B,Fast,24,1,1,4
node_16_A,node_06_B,Fast,50,1,1,2
node_25_A,node_21_A,Fast,33,1,1,1
node_25_A,node_20_C,Fast,92,1,0,2
node_15_B,node_07_C,Fast,31,1,1,4
node_01_B,node_19_A,Fast,29,1,1,3
node_26_C,node_04_A,Fast,180,1,0,3
node_20_C,node_18_B,Fast,33,1,1,4
node_08_B,node_16_C,Fast,362,1,1,4
node_12_C,node_03_C,Fast,26,1,1,4
node_08_B,node_15_C,Fast,384,1,1,4
node_03_A,node_12_B,Fast,30,1,1,2
node_04_C,node_17_C,Fast,102,1,1,4
node_12_B,node_08_C,Fast,26,1,1,4
node_02_C,node_06_B,Fast,352,1,1,4
node_10_A,node_11_A,Fast,115,1,1,1
node_10_B,node_03_B,Fast,7,1,1,4
node_01_A,node_03_A,Fast,23,1,1,1
node_22_A,node_11_B,Fast,68,1,1,2
node_10_B,node_26_A,Fast,22,1,1,3
node_20_A,node_25_B,Fast,116,1,1,2
node_22_A,node_24_A,Fast,33,1,1,1
node_11_C,node_07_C,Fast,65,1,1,4
node_25_A,node_14_A,Fast,100,1,0,1
node_22_C,node_25_B,Fast,28,1,1,4
node_26_C,node_18_A,Fast,10,1,1,3
node_17_C,node_06_C,Fast,2,1,1,4
node_15_B,node_05_B,Fast,81,1,1,4
node_27_B,node_15_C,Fast,1139,1,1,4
node_08_B,node_04_B,Fast,2686,1,0,4
node_06_A,node_24_A,Fast,6,1,1,1
node_12_A,node_11_A,Fast,419,1,0,1
node_23_B,node_09_A,Fast,35,1,1,3
node_16_C,node_26_A,Fast,33,1,1,3
node_13_C,node_02_C,Fast,12,1,1,4
node_08_B,node_23_C,Fast,302,1,1,4
node_08_B,node_14_A,Fast,523,1,1,3
node_18_A,node_27_C,Fast,23,1,1,2
node_23_C,node_12_B,Fast,69,1,1,4
node_08_A,node_01_A,Fast,86,1,1,1
node_04_B,node_23_C,Fast,2254,1,1,4
node_04_B,node_20_A,Fast,1230,1,1,3
node_21_C,node_03_A,Fast,8,1,1,3
node_04_A,node_03_A,Fast,444,1,1,1
node_04_A,node_01_C,Fast,754,1,1,2
node_12_B,node_24_B,Fast,3,1,1,4
node_18_A,node_27_B,Fast,84,1,0,2
node_23_C,node_13_B,Fast,15,1,1,4
node_06_C,node_21_C,Fast,5,1,1,4
node_04_B,node_05_C,Fast,995,1,1,4
node_25_C,node_17_B,Fast,11,1,1,4
node_25_A,node_18_A,Fast,32,1,1,1
node_13_A,node_01_A,Fast,42,1,1,1
node_21_B,node_11_B,Fast,9,1,1,4
node_15_C,node_05_B,Fast,53,1,1,4
node_17_B,node_03_C,Fast,17,1,1,4
node_18_A,node_16_B,Fast,16,1,1,2
node_12_A,node_26_A,Fast,128,1,1,1
node_14_B,node_21_B,Fast,466,1,1,4
node_19_A,node_20_B,Fast,34,1,0,2
node_16_B,node_17_A,Fast,50,1,1,3
node_06_A,node_04_C,Fast,125,1,0,2
node_10_A,node_13_C,Fast,120,1,0,2
node_07_B,node_04_C,Fast,89,1,0,4
node_20_B,node_16_C,Fast,285,1,1,4
node_26_A,node_27_C,Fast,311,1,0,2
node_11_B,node_01_C,Fast,86,1,1,4
node_03_A,node_04_C,Fast,75,1,0,2
node_14_A,node_15_A,Fast,141,1,1,1
node_16_A,node_08_A,Fast,205,1,0,1
node_04_A,node_10_A,Fast,437,1,1,1
node_17_A,node_01_C,Fast,50,1,0,2
node_23_B,node_07_B,Fast,28,1,1,4
node_08_B,node_10_B,Fast,400,1,1,4
node_06_B,node_25_C,Fast,13,1,1,4
node_03_C,node_15_B,Fast,20,1,1,4
node_21_C,node_11_A,Fast,36,1,1,3
node_26_C,node_21_A,Fast,17,1,1,3
node_09_B,node_19_C,Fast,11,1,1,4
node_12_A,node_13_C,Fast,21,1,1,2
node_23_C,node_16_C,Fast,26,1,1,4
node_03_C,node_17_B,Fast,11,1,1,4
node_08_C,node_18_C,Fast,5,1,1,4
node_22_B,node_12_B,Fast,11,1,1,4
node_27_B,node_26_C,Fast,519,1,1,4
node_02_B,node_07_B,Fast,147,1,1,4
node_23_C,node_12_C,Fast,64,1,1,4
node_06_B,node_18_A,Fast,3,1,1,3
node_13_C,node_26_C,Fast,7,1,1,4
node_07_C,node_18_C,Fast,4,1,1,4
node_11_B,node_07_C,Fast,40,1,1,4
node_05_C,node_16_C,Fast,9,1,1,4
node_15_B,node_19_C,Fast,1,1,1,4
node_02_B,node_18_A,Fast,106,1,1,3
node_08_C,node_24_B,Fast,8,1,1,4
node_06_A,node_17_B,Fast,12,1,1,2
node_08_C,node_25_C,Fast,109,1,1,4
node_08_C,node_24_A,Fast,32,1,1,3
node_14_C,node_27_B,Fast,85,1,1,4
node_18_B,node_16_A,Fast,4,1,1,3
node_03_A,node_22_B,Fast,48,1,1,2
node_14_B,node_17_C,Fast,607,1,1,4
node_27_A,node_03_C,Fast,191,1,1,2
node_23_B,node_06_B,Fast,38,1,1,4
node_01_C,node_05_B,Fast,73,1,1,4
node_11_C,node_01_B,Fast,88,1,1,4
node_13_B,node_22_C,Fast,12,1,1,4
node_25_A,node_01_C,Fast,42,1,0,2
node_18_C,node_15_A,Fast,2,1,1,3
node_21_B,node_27_B,Fast,73,1,0,4
node_21_B,node_12_C,Fast,5,1,1,4
node_26_B,node_22_C,Fast,11,1,1,4
node_16_C,node_26_C,Fast,34,1,1,4
node_16_C,node_01_A,Fast,46,1,1,3
node_22_C,node_12_B,Fast,15,1,1,4
node_27_C,node_07_C,Fast,215,1,1,4
node_15_C,node_21_B,Fast,18,1,1,4
node_22_C,node_17_A,Fast,3,1,1,3
node_03_A,node_10_C,Fast,6,1,1,2
node_02_B,node_25_B,Fast,203,1,1,4
node_27_A,node_08_C,Fast,163,1,1,2
node_09_A,node_13_B,Fast,27,1,1,2
node_11_A,node_17_A,Fast,57,1,1,1
node_03_A,node_25_A,Fast,102,1,0,1
node_06_B,node_02_A,Fast,35,1,1,3
node_19_B,node_09_C,Fast,2,1,1,4
node_09_C,node_25_A,Fast,128,1,1,3
node_10_B,node_06_A,Fast,13,1,1,3
node_04_C,node_18_B,Fast,8,1,1,4
node_21_C,node_15_B,Fast,17,1,1,4
node_12_A,node_23_B,Fast,45,1,1,2
node_10_C,node_21_A,Fast,5,1,1,3
node_13_C,node_23_B,Fast,5,1,1,4
node_04_A,node_25_A,Fast,876,1,1,1
node_22_A,node_26_B,Fast,27,1,1,2
node_09_B,node_24_B,Fast,12,1,1,4
node_16_C,node_09_B,Fast,74,1,1,4
node_14_A,node_17_B,Fast,61,1,1,2
node_15_C,node_01_C,Fast,52,1,1,4
node_09_A,node_17_C,Fast,79,1,1,2
node_27_A,node_11_C,Fast,373,1,1,2
node_26_C,node_22_B,Fast,13,1,1,4
node_03_C,node_25_C,Fast,53,1,0,4
node_14_B,node_22_C,Fast,392,1,1,4
node_02_C,node_18_B,Fast,34,1,1,4
node_13_B,node_15_C,Fast,18,1,1,4
node_18_A,node_15_A,Fast,14,1,1,1
node_08_B,node_05_B,Fast,435,1,1,4
node_06_A,node_03_B,Fast,9,1,1,2
node_09_A,node_27_B,Fast,476,1,0,2
node_04_B,node_20_C,Fast,2551,1,1,4
node_24_B,node_03_B,Fast,3,1,0,4
node_19_A,node_21_B,Fast,11,1,1,2
node_24_A,node_12_C,Fast,10,1,0,2
node_04_A,node_09_B,Fast,1027,1,1,2
node_23_A,node_01_B,Fast,288,1,1,2
node_14_B,node_16_A,Fast,948,1,1,3
node_08_C,node_02_B,Fast,131,1,1,4
node_24_C,node_06_B,Fast,3,1,0,4
node_13_A,node_05_C,Fast,12,1,1,2
node_01_B,node_18_B,Fast,4,1,1,4
node_04_B,node_01_A,Fast,1584,1,1,3
node_27_B,node_17_C,Fast,682,1,1,4
node_15_A,node_21_C,Fast,30,1,1,2
node_09_C,node_14_A,Fast,143,1,1,3
node_02_A,node_12_B,Fast,91,1,1,2
node_27_B,node_22_B,Fast,367,1,1,4
node_11_C,node_17_C,Fast,31,1,1,4
node_27_B,node_08_C,Fast,493,1,1,4
node_16_A,node_22_A,Fast,226,1,0,1
node_03_C,node_22_A,Fast,162,1,0,3
node_01_A,node_15_A,Fast,107,1,1,1
node_27_A,node_16_B,Fast,426,1,1,2
node_15_B,node_11_B,Fast,93,1,1,4
node_20_A,node_14_A,Fast,6,1,1,1
node_15_C,node_25_B,Fast,45,1,1,4
node_10_C,node_16_A,Fast,107,1,0,3
node_14_C,node_07_C,Fast,82,1,1,4
node_13_C,node_14_B,Fast,94,1,0,4
node_20_A,node_03_C,Fast,30,1,1,2
node_04_B,node_24_B,Fast,39,1,1,4
node_05_C,node_17_C,Fast,8,1,1,4
node_20_A,node_18_A,Fast,27,1,1,1
node_21_A,node_09_C,Fast,33,1,1,2
node_25_A,node_17_B,Fast,19,1,1,2
node_21_C,node_18_B,Fast,12,1,1,4
node_18_B,node_27_C,Fast,7,1,1,4
node_23_B,node_10_B,Fast,14,1,1,4
node_17_C,node_20_A,Fast,35,1,1,3
node_21_A,node_14_C,Fast,36,1,0,2
node_14_B,node_09_A,Fast,989,1,1,3
node_11_B,node_13_A,Fast,48,1,1,3
node_15_A,node_08_A,Fast,48,1,1,1
node_02_B,node_03_B,Fast,134,1,1,4
node_24_C,node_27_C,Fast,8,1,0,4
node_27_A,node_01_C,Fast,3,1,1,2
node_18_C,node_20_A,Fast,1,1,1,3
node_11_C,node_19_C,Fast,5,1,1,4
node_24_B,node_01_C,Fast,1,1,0,4
node_22_C,node_27_C,Fast,44,1,1,4
node_09_A,node_20_B,Fast,514,1,0,2
node_14_B,node_24_A,Fast,83,1,1,3
node_12_C,node_03_B,Fast,19,1,1,4
node_26_C,node_18_B,Fast,3,1,1,4
node_03_A,node_17_B,Fast,26,1,1,2
node_06_A,node_26_B,Fast,32,1,1,2
node_02_C,node_07_B,Fast,115,1,1,4
node_27_A,node_11_A,Fast,676,1,0,1
node_13_B,node_27_B,Fast,111,1,0,4
node_02_B,node_14_B,Fast,2725,1,0,4
node_02_A,node_26_B,Fast,30,1,1,2
node_09_B,node_02_A,Fast,111,1,1,3
node_26_C,node_11_B,Fast,24,1,1,4
node_22_B,node_20_C,Fast,36,1,1,4
node_17_B,node_14_B,Fast,207,1,0,4
node_27_B,node_03_A,Fast,438,1,1,3
node_15_A,node_02_C,Fast,183,1,0,2
node_26_B,node_15_C,Fast,33,1,1,4
node_26_A,node_05_B,Fast,242,1,0,2
node_13_C,node_15_A,Fast,10,1,1,3
node_02_B,node_18_C,Fast,17,1,1,4
node_11_C,node_13_A,Fast,41,1,1,3
node_27_A,node_25_C,Fast,201,1,1,2
node_27_A,node_16_C,Fast,149,1,1,2
node_01_C,node_19_C,Fast,2,1,1,4
node_24_B,node_09_B,Fast,1,1,0,4
node_02_C,node_11_C,Fast,361,1,1,4
node_25_A,node_18_B,Fast,9,1,1,2
node_11_B,node_08_A,Fast,80,1,1,3
node_23_B,node_26_B,Fast,25,1,1,4
node_24_C,node_02_B,Fast,5,1,0,4
node_11_C,node_16_A,Fast,59,1,1,3
node_06_A,node_25_A,Fast,30,1,1,1
node_09_C,node_17_B,Fast,68,1,1,4
node_02_B,node_16_A,Fast,442,1,1,3
node_11_A,node_17_B,Fast,127,1,1,2
node_14_C,node_04_B,Fast,1907,1,0,4
node_21_C,node_03_C,Fast,11,1,1,4
node_11_C,node_25_B,Fast,67,1,1,4
node_12_A,node_02_A,Fast,125,1,1,1
node_22_C,node_08_C,Fast,10,1,1,4
node_15_B,node_19_B,Fast,3,1,1,4
node_03_B,node_25_B,Fast,101,1,0,4
node_24_B,node_04_B,Fast,6,1,0,4
node_27_A,node_04_B,Fast,3530,1,0,2
node_10_B,node_25_C,Fast,19,1,1,4
node_27_B,node_21_A,Fast,401,1,1,3
node_21_A,node_10_C,Fast,5,1,1,2
node_15_B,node_05_C,Fast,24,1,1,4
node_02_C,node_15_A,Fast,314,1,1,3
node_23_B,node_21_B,Fast,18,1,1,4
node_03_C,node_16_B,Fast,16,1,1,4
node_02_C,node_24_C,Fast,11,1,1,4
node_16_B,node_03_C,Fast,34,1,1,4
node_26_A,node_09_A,Fast,67,1,1,1
node_16_B,node_18_A,Fast,27,1,1,3
node_14_C,node_16_C,Fast,84,1,1,4
node_24_B,node_20_A,Fast,2,1,0,3
node_25_B,node_13_B,Fast,6,1,1,4
node_26_B,node_25_A,Fast,11,1,1,3
node_10_B,node_11_A,Fast,60,1,1,3
node_14_A,node_18_A,Fast,43,1,1,1
node_14_B,node_11_C,Fast,758,1,1,4
node_14_A,node_17_A,Fast,33,1,1,1
node_22_A,node_06_B,Fast,67,1,1,2
node_13_C,node_22_A,Fast,12,1,1,3
node_15_A,node_26_C,Fast,38,1,1,2
node_16_C,node_20_B,Fast,275,1,0,4
node_14_B,node_12_A,Fast,981,1,1,3
node_26_C,node_19_B,Fast,1,1,1,4
node_07_C,node_26_C,Fast,25,1,1,4
node_17_C,node_15_C,Fast,23,1,1,4
node_12_C,node_01_B,Fast,45,1,1,4
node_03_B,node_18_B,Fast,16,1,1,4
node_10_A,node_14_C,Fast,166,1,0,2
node_10_C,node_25_C,Fast,10,1,1,4
node_04_B,node_12_C,Fast,2345,1,1,4
node_24_A,node_20_C,Fast,16,1,0,2
node_23_B,node_05_C,Fast,16,1,1,4
node_23_B,node_18_C,Fast,2,1,1,4
node_22_C,node_20_C,Fast,27,1,1,4
node_26_B,node_13_B,Fast,21,1,1,4
node_02_A,node_01_B,Fast,134,1,0,2
node_06_C,node_13_B,Fast,3,1,1,4
node_24_A,node_04_A,Fast,37,1,0,1
node_10_A,node_08_B,Fast,399,1,0,2
node_17_A,node_10_B,Fast,15,1,0,2
node_09_C,node_10_B,Fast,50,1,1,4
node_12_B,node_16_B,Fast,46,1,1,4
node_12_A,node_14_C,Fast,192,1,1,2
node_21_A,node_22_A,Fast,79,1,0,1
node_11_A,node_26_C,Fast,190,1,1,2
node_10_C,node_18_C,Fast,1,1,1,4
node_24_C,node_03_C,Fast,4,1,0,4
node_01_B,node_04_C,Fast,120,1,1,4
node_13_B,node_26_A,Fast,12,1,1,3
node_09_B,node_08_A,Fast,217,1,1,3
node_03_A,node_18_B,Fast,39,1,1,2
node_25_C,node_26_C,Fast,6,1,1,4
node_12_B,node_21_B,Fast,33,1,1,4
node_21_C,node_16_B,Fast,28,1,1,4
node_09_B,node_05_B,Fast,130,1,1,4
node_01_C,node_25_C,Fast,58,1,1,4
node_22_A,node_05_C,Fast,31,1,1,2
node_25_B,node_26_A,Fast,16,1,1,3
node_01_A,node_02_C,Fast,89,1,1,2
node_10_A,node_08_C,Fast,83,1,1,2
node_27_A,node_18_C,Fast,18,1,1,2
node_21_C,node_03_B,Fast,9,1,1,4
node_25_B,node_18_B,Fast,9,1,1,4
node_03_A,node_05_C,Fast,5,1,1,2
node_23_B,node_02_A,Fast,76,1,1,3
node_03_B,node_12_B,Fast,13,1,1,4
node_19_A,node_14_A,Fast,32,1,0,1
node_17_B,node_02_A,Fast,17,1,1,3
node_20_B,node_26_A,Fast,252,1,1,3
node_02_C,node_23_B,Fast,176,1,1,4
node_18_A,node_11_A,Fast,27,1,1,1
node_14_C,node_17_B,Fast,104,1,1,4
node_25_A,node_04_B,Fast,450,1,0,2
node_20_B,node_24_C,Fast,7,1,1,4
node_05_B,node_04_A,Fast,836,1,0,3
node_05_B,node_03_C,Fast,33,1,1,4
node_16_A,node_15_C,Fast,69,1,1,2
node_21_A,node_05_C,Fast,3,1,1,2
node_11_A,node_23_A,Fast,725,1,0,1
node_16_B,node_21_C,Fast,74,1,1,4
node_09_A,node_01_A,Fast,141,1,1,1
node_27_B,node_12_A,Fast,831,1,1,3
node_11_A,node_22_B,Fast,76,1,1,2
node_02_A,node_23_B,Fast,45,1,1,2
node_16_C,node_22_B,Fast,26,1,1,4
node_11_A,node_16_B,Fast,245,1,1,2
node_26_B,node_11_B,Fast,24,1,1,4
node_22_B,node_20_A,Fast,11,1,1,3
node_25_B,node_12_C,Fast,27,1,1,4
node_03_C,node_16_C,Fast,4,1,1,4
node_02_C,node_19_A,Fast,163,1,1,3
node_13_A,node_27_B,Fast,210,1,0,2
node_02_A,node_18_C,Fast,4,1,1,2
node_18_A,node_16_C,Fast,6,1,1,2
node_15_A,node_16_A,Fast,41,1,1,1
node_03_B,node_17_B,Fast,12,1,1,4
node_11_C,node_17_B,Fast,49,1,1,4
node_01_A,node_04_C,Fast,101,1,1,2
node_17_B,node_11_B,Fast,12,1,1,4
node_21_A,node_08_C,Fast,26,1,1,2
node_23_A,node_09_C,Fast,177,1,1,2
node_16_B,node_03_B,Fast,29,1,1,4
node_22_A,node_21_C,Fast,295,1,0,2
node_22_C,node_04_B,Fast,179,1,0,4
node_20_A,node_08_A,Fast,189,1,0,1
node_20_B,node_15_C,Fast,260,1,1,4
node_03_A,node_08_C,Fast,16,1,1,2
node_08_A,node_07_C,Fast,84,1,1,2
node_18_A,node_04_B,Fast,104,1,0,2
node_17_A,node_12_B,Fast,54,1,0,2
node_14_A,node_09_B,Fast,163,1,0,2
node_25_A,node_07_B,Fast,59,1,0,2
node_11_A,node_18_B,Fast,22,1,1,2
node_23_C,node_06_C,Fast,19,1,1,4
node_22_A,node_08_C,Fast,44,1,1,2
node_02_B,node_13_C,Fast,83,1,1,4
node_16_C,node_01_B,Fast,49,1,1,4
node_04_A,node_13_C,Fast,111,1,1,2
node_27_A,node_17_C,Fast,242,1,1,2
node_02_C,node_26_C,Fast,412,1,1,4
node_14_B,node_03_A,Fast,434,1,1,3
node_09_A,node_11_C,Fast,99,1,1,2
node_19_A,node_24_B,Fast,3,1,1,2
node_03_B,node_24_B,Fast,1,1,1,4
node_14_B,node_21_A,Fast,413,1,1,3
node_12_C,node_24_A,Fast,3,1,1,3
node_03_B,node_24_A,Fast,4,1,1,3
node_03_C,node_26_B,Fast,3,1,1,4
node_13_C,node_23_C,Fast,9,1,1,4
node_25_B,node_22_B,Fast,27,1,1,4
node_08_B,node_12_C,Fast,204,1,1,4
node_26_A,node_18_A,Fast,17,1,1,1
node_13_A,node_12_C,Fast,26,1,1,2
node_21_A,node_03_A,Fast,12,1,1,1
node_22_A,node_03_C,Fast,367,1,0,2
node_04_A,node_09_C,Fast,679,1,1,2
node_15_C,node_26_A,Fast,27,1,1,3
node_27_C,node_11_C,Fast,765,1,1,4
node_16_C,node_21_B,Fast,44,1,1,4
node_10_A,node_07_C,Fast,151,1,0,2
node_06_A,node_03_C,Fast,14,1,1,2
node_15_C,node_24_C,Fast,1,1,1,4
node_13_C,node_26_A,Fast,12,1,1,3
node_12_B,node_09_B,Fast,69,1,1,4
node_23_C,node_06_B,Fast,137,1,1,4
node_03_C,node_02_C,Fast,12,1,1,4
node_01_C,node_10_A,Fast,43,1,1,3
node_17_B,node_18_B,Fast,11,1,1,4
node_25_B,node_27_B,Fast,133,1,0,4
node_20_B,node_17_A,Fast,124,1,1,3
node_19_C,node_03_C,Fast,8,1,0,4
node_09_A,node_02_B,Fast,203,1,1,2
node_20_B,node_26_C,Fast,202,1,1,4
node_26_A,node_27_B,Fast,363,1,0,2
node_18_A,node_14_C,Fast,25,1,1,2
node_19_A,node_07_B,Fast,9,1,1,2
node_25_A,node_15_A,Fast,45,1,1,1
node_08_A,node_07_B,Fast,58,1,1,2
node_17_C,node_22_B,Fast,49,1,1,4
node_24_A,node_11_B,Fast,8,1,0,2
node_14_C,node_06_A,Fast,58,1,1,3
node_24_B,node_23_A,Fast,38,1,0,3
node_23_A,node_13_B,Fast,92,1,1,2
node_27_C,node_24_C,Fast,12,1,1,4
node_04_A,node_11_A,Fast,1341,1,0,1
node_05_C,node_04_B,Fast,579,1,0,4
node_11_B,node_20_C,Fast,109,1,1,4
node_05_B,node_17_B,Fast,51,1,1,4
node_17_B,node_16_A,Fast,151,1,0,3
node_21_B,node_18_A,Fast,8,1,1,3
node_23_C,node_24_A,Fast,53,1,1,3
node_26_A,node_19_B,Fast,2,1,1,2
node_21_C,node_14_B,Fast,200,1,0,4
node_20_C,node_04_B,Fast,1718,1,0,4
node_17_B,node_22_C,Fast,7,1,1,4
node_18_B,node_07_C,Fast,1,1,1,4
node_04_C,node_26_B,Fast,70,1,1,4
node_01_C,node_26_A,Fast,43,1,1,3
node_27_B,node_14_A,Fast,249,1,1,3
node_10_C,node_16_B,Fast,104,1,0,4
node_12_C,node_22_B,Fast,20,1,1,4
node_02_B,node_21_B,Fast,178,1,1,4
node_16_B,node_18_B,Fast,7,1,1,4
node_14_C,node_01_C,Fast,43,1,1,4
node_12_B,node_09_C,Fast,42,1,1,4
node_11_C,node_13_C,Fast,8,1,1,4
node_17_C,node_19_A,Fast,13,1,1,3
node_22_A,node_10_C,Fast,37,1,1,2
node_01_A,node_08_A,Fast,79,1,1,1
node_15_C,node_10_A,Fast,23,1,1,3
node_12_B,node_07_C,Fast,57,1,1,4
node_03_C,node_22_B,Fast,10,1,1,4
node_09_B,node_15_C,Fast,171,1,1,4
node_03_A,node_24_C,Fast,5,1,1,2
node_17_C,node_27_A,Fast,160,1,0,3
node_27_A,node_26_A,Fast,244,1,1,1
node_02_A,node_15_B,Fast,216,1,0,2
node_15_C,node_07_B,Fast,11,1,1,4
